"game_id","stadium","given_date","given_time","given_lat","given_lon","timestamp_lcl","temperature_air_2m_f","temperature_wetbulb_2m_f","temperature_dewpoint_2m_f","temperature_feelslike_2m_f","temperature_windchill_2m_f","temperature_heatindex_2m_f","humidity_relative_2m_pct","humidity_specific_2m_gpkg","pressure_2m_mb","pressure_mean_sea_level_mb","wind_speed_10m_mph","wind_direction_10m_deg","precipitation_in","snowfall_in","cloud_cover_pct"
"200412190phi","Lincoln Financial Field","2004-12-18","01:02:00","39.9008","-75.1675","2004-12-18 13:00:00","44.1","37.2","27","41.5","41.5","44.1","51","3.1","1017.4","1019.6","4","20","0","0","88"
"200409120cle","Cleveland Browns Stadium","2004-09-11","01:08:00","41.5061","-81.6995","2004-09-11 13:00:00","79","63","53.1","79.1","79","79.1","41","8.6","1001.9","1023.4","4","20","0","0","0"
"200111180cin","Paul Brown Stadium","2001-11-17","01:02:00","39.0955","-84.5161","2001-11-17 13:00:00","59","54.9","52","59","59","59","77","8.2","1010.6","1028.8","4","20","0","0","0"
"200210270kan","Arrowhead Stadium","2002-10-26","01:00:00","39.0489","-94.4839","2002-10-26 12:00:00","45","42.1","39","42.6","42.6","45","80","5.1","994.3","1023.3","4","10","0","0","100"
"200511060sfo","Monster Park","2005-11-05","04:06:00","37.7138","-122.385","2005-11-05 13:00:00","62.1","55.7","51.1","62.1","62.1","62.1","67","7.8","1020.1","1020.7","4","10","0","0","50"
"200309210sfo","3Com Park","2003-09-20","04:15:00","37.7159","-122.388","2003-09-20 13:00:00","73.9","67.9","64.9","77.4","73.9","77.4","74","13.1","1010.2","1010.8","4","10","0","0","0"
"200210270nor","Louisiana Superdome","2002-10-26","01:03:00","29.9511","-90.0812","2002-10-26 12:00:00","75","74.2","73.9","79.8","75","79.8","96","17.7","1015.5","1015.7","4","0","0","0","100"
"200012170cin","Paul Brown Stadium","2000-12-16","01:02:00","39.0955","-84.5161","2000-12-16 13:00:00","51.8","49.8","48.2","50.6","50.6","51.8","87","7.3","987.9","1006.2","4","0","0.22","0","100"
"200212280rai","Network Associates Coliseum","2002-12-27","05:15:00","37.7516","-122.201","2002-12-27 14:00:00","57.9","55.6","54","57.7","57.7","57.9","87","8.7","1022","1022.5","4","0","0","0","100"
"200110210sdg","Qualcomm Stadium","2001-10-20","01:05:00","32.7831","-117.12","2001-10-20 10:00:00","61","59.1","57.9","61","61","61","90","10.3","998.5","1013.6","4","0","0","0","100"
"200410100clt","RCA Dome","2004-10-09","01:00:00","39.7581","-86.1579","2004-10-09 12:00:00","68","58","51.1","68","68","68","55","8.1","992.3","1021.2","4","0","0","0","100"
"200112160cle","Cleveland Browns Stadium","2001-12-15","01:03:00","41.5061","-81.6995","2001-12-15 13:00:00","42.1","38.5","34","39.2","39.2","42.1","73","4.1","1008.2","1030.6","4","0","0","0","88"
"200609170mia","Dolphin Stadium","2006-09-16","01:03:00","25.958","-80.2389","2006-09-16 13:00:00","86","77.9","75","94.9","86","94.9","70","18.4","1016.2","1016.5","4","0","0","0","88"
"200209290rai","Network Associates Coliseum","2002-09-28","04:15:00","37.7516","-122.201","2002-09-28 13:00:00","68","57","48.9","68","68","68","50","7.3","1009.8","1010.4","4","0","0","0","88"
"200509180sea","Qwest Field","2005-09-17","04:06:00","47.5952","-122.332","2005-09-17 13:00:00","62.1","55.2","50","62.1","62.1","62.1","65","7.5","1020.3","1021","4","0","0","0","88"
"200010080crd","Sun Devil Stadium","2000-10-07","04:15:00","33.4265","-111.933","2000-10-07 13:00:00","91.9","66.6","52","91.9","91.9","91.9","26","8.5","970.1","1008.1","4","0","0","0","88"
"200310120clt","RCA Dome","2003-10-11","01:00:00","39.7581","-86.1579","2003-10-11 12:00:00","73.9","63.7","57.9","77","73.9","77","57","10.4","988.3","1017.2","4","0","0","0","50"
"200110210crd","Sun Devil Stadium","2001-10-20","04:05:00","33.4265","-111.933","2001-10-20 13:00:00","90","60.8","37.9","90","90","90","16","5","970.8","1008.6","4","0","0","0","50"
"200510020oti","The Coliseum","2005-10-01","01:02:00","36.1665","-86.7713","2005-10-01 12:00:00","79","70.1","66","81.6","79","81.6","65","13.7","1000.7","1021.8","4","0","0","0","50"
"200509110mia","Dolphin Stadium","2005-09-10","01:07:00","25.958","-80.2389","2005-09-10 13:00:00","89.1","78","73.9","98.4","89.1","98.4","61","17.7","1014.9","1015.2","4","0","0","0","25"
"200112020was","FedExField","2001-12-01","04:15:00","38.9076","-76.8645","2001-12-01 16:00:00","69.8","56.6","46.4","69.8","69.8","69.8","43","6.7","1007.7","1018.5","4","0","0","0","25"
"200510230rai","McAfee Coliseum","2005-10-22","04:15:00","37.7516","-122.201","2005-10-22 13:00:00","59","54.9","52","59","59","59","77","8.1","1015.4","1015.6","4","0","0","0","25"
"200009100crd","Sun Devil Stadium","2000-09-09","08:35:00","33.4265","-111.933","2000-09-09 18:00:00","100","69.6","53.1","100","100","100","21","8.9","966.2","1003.6","4","0","0","0","25"
"200209220crd","Sun Devil Stadium","2002-09-21","04:05:00","33.4265","-111.933","2002-09-21 13:00:00","96.1","62.8","37","96.1","96.1","96.1","13","4.8","972.1","1009.7","4","0","0","0","25"
"200009030kan","Arrowhead Stadium","2000-09-02","01:00:00","39.0489","-94.4839","2000-09-02 12:00:00","95","74.6","66","99.8","95","99.8","39","13.9","984.1","1010.1","4","0","0","0","0"
"200411070ram","Edward Jones Dome","2004-11-06","04:15:00","38.6328","-90.1885","2004-11-06 15:00:00","73.9","57.5","45","75.6","73.9","75.6","35","6.4","996.8","1011.6","4","0","0","0","0"
"200209290det","Ford Field","2002-09-28","01:03:00","42.34","-83.0456","2002-09-28 13:00:00","64.9","53.5","44.1","64.9","64.9","64.9","47","6.1","999.5","1023","4","0","0","0","0"
"200101140nyg","Giants Stadium","2001-01-13","12:37:00","40.8128","-74.0742","2001-01-13 13:00:00","36","30.5","19.9","32.1","32.1","36","52","2.3","1026.7","1027","4","0","0","0","0"
"200110210nyj","Giants Stadium","2001-10-20","01:02:00","40.8128","-74.0742","2001-10-20 13:00:00","66.9","56.6","48.9","66.9","66.9","66.9","52","7.3","1016.6","1016.8","4","0","0","0","0"
"200509250nyj","Giants Stadium","2005-09-24","01:03:00","40.8128","-74.0742","2005-09-24 13:00:00","68","55.8","46","68","68","68","45","6.4","1027.1","1027.3","4","0","0","0","0"
"200309210nwe","Gillette Stadium","2003-09-20","01:02:00","42.0909","-71.2643","2003-09-20 13:00:00","80.1","71","66.9","82.9","80.1","82.9","64","13.9","1017.2","1019","4","0","0","0","0"
"200509110pit","Heinz Field","2005-09-10","01:05:00","40.4468","-80.0158","2005-09-10 13:00:00","77","63.2","55","78.2","77","78.2","47","9.5","978.8","1023.6","4","0","0","0","0"
"200509180gnb","Lambeau Field","2005-09-17","04:15:00","44.5013","-88.0622","2005-09-17 15:00:00","75.9","60.4","50","77","75.9","77","40","7.7","992.6","1017.5","4","0","0","0","0"
"200312140sdg","Qualcomm Stadium","2003-12-13","04:15:00","32.7831","-117.12","2003-12-13 13:00:00","64","52.3","42.1","64","64","64","45","5.6","1006.5","1022","4","0","0","0","0"
"200610220sea","Qwest Field","2006-10-21","04:16:00","47.5952","-122.332","2006-10-21 13:00:00","55.9","50.6","46","55.4","55.4","55.9","69","6.5","1023.3","1023.8","4","0","0","0","0"
"200010290tam","Raymond James Stadium","2000-10-28","01:01:00","27.9759","-82.5033","2000-10-28 13:00:00","81","71.3","66.9","83.9","81","83.9","62","13.9","1020.3","1020.6","4","0","0","0","0"
"200309210clt","RCA Dome","2003-09-20","01:00:00","39.7581","-86.1579","2003-09-20 12:00:00","64.9","53","43","64.9","64.9","64.9","45","5.9","994.9","1024.5","4","0","0","0","0"
"200210060oti","The Coliseum","2002-10-05","01:03:00","36.1665","-86.7713","2002-10-05 12:00:00","68","58.4","52","68","68","68","57","8.3","1000.8","1021.6","4","0","0","0","0"
"200412260cin","Paul Brown Stadium","2004-12-25","01:03:00","39.0955","-84.5161","2004-12-25 13:00:00","19","17.2","12","13.9","13.9","19","74","1.6","1006.1","1024.9","3","360","0","0","25"
"200510230was","FedExField","2005-10-22","01:03:00","38.9076","-76.8645","2005-10-22 13:00:00","55.4","55.4","55.4","55.4","55.4","55.4","100","9.4","992.9","1003.9","3","350","0","0","100"
"200509190nor","Giants Stadium","2005-09-18","07:36:00","40.8128","-74.0742","2005-09-18 20:00:00","78.1","62.7","53.1","78.6","78.1","78.6","42","8.5","1016.3","1016.6","3","340","0","0","0"
"200112160rav","PSINet Stadium","2001-12-15","08:35:00","39.278","-76.6227","2001-12-15 21:00:00","43","36","25","41.3","41.3","43","49","2.8","1024.4","1030.3","3","330","0","0","88"
"200012100rai","Network Associates Coliseum","2000-12-09","08:35:00","37.7516","-122.201","2000-12-09 18:00:00","54","52.8","52","53.8","53.8","54","93","8.1","1017.2","1017.7","3","320","0","0","100"
"200010190tam","Raymond James Stadium","2000-10-18","08:35:00","27.9759","-82.5033","2000-10-18 21:00:00","71.1","64","60.1","76.1","71.1","76.1","68","10.9","1016.9","1017.3","3","320","0","0","25"
"200612310den","Invesco Field at Mile High","2006-12-30","04:16:00","39.7439","-105.02","2006-12-30 14:00:00","24.8","22.9","19.4","20.5","20.5","24.8","80","2.7","825.8","1021.7","3","300","0","0","88"
"200512240crd","Sun Devil Stadium","2005-12-23","04:05:00","33.4265","-111.933","2005-12-23 14:00:00","72","50.7","27","72","72","72","19","3.2","977.6","1016.6","3","300","0","0","88"
"200311160den","Invesco Field at Mile High","2003-11-15","04:05:00","39.7439","-105.02","2003-11-15 14:00:00","53.6","38.8","19.4","53.4","53.4","53.6","26","2.8","816.8","1010.7","3","290","0","0","88"
"200310190min","Hubert H. Humphrey Metrodome","2003-10-18","01:00:00","44.9709","-93.2548","2003-10-18 12:00:00","66","55.2","46.9","66","66","66","50","7","983.9","1014","3","290","0","0","50"
"200512110crd","Sun Devil Stadium","2005-12-10","04:05:00","33.4265","-111.933","2005-12-10 14:00:00","66.9","45.2","10.9","66.9","66.9","66.9","11","1.6","979.6","1019","3","290","0","0","25"
"200112300sdg","Qualcomm Stadium","2001-12-29","04:15:00","32.7831","-117.12","2001-12-29 13:00:00","64.9","50.8","37","64.9","64.9","64.9","36","4.7","1002.5","1017.5","3","290","0","0","0"
"200609070pit","Heinz Field","2006-09-06","08:37:00","40.4468","-80.0158","2006-09-06 21:00:00","63","58.6","55.9","63","63","63","78","9.8","973.2","1018.9","3","280","0","0","25"
"200610010kan","Arrowhead Stadium","2006-09-30","01:00:00","39.0489","-94.4839","2006-09-30 12:00:00","73","59.3","50","76","73","76","44","7.8","986.7","1013.1","3","280","0","0","0"
"200211170min","Hubert H. Humphrey Metrodome","2002-11-16","12:00:00","44.9709","-93.2548","2002-11-16 11:00:00","28.9","24.4","14","25.2","25.2","28.9","53","1.8","994.5","1026.4","3","270","0","0","88"
"200011050sea","Husky Stadium","2000-11-04","04:15:00","47.6504","-122.302","2000-11-04 13:00:00","55","47.1","39","55","55","55","55","5","1008.8","1009.5","3","270","0","0","88"
"200212220rai","Network Associates Coliseum","2002-12-21","04:15:00","37.7516","-122.201","2002-12-21 13:00:00","54","49.7","46","53.8","53.8","54","74","6.5","1016.2","1016.8","3","270","0","0","50"
"200109230clt","RCA Dome","2001-09-22","01:00:00","39.7581","-86.1579","2001-09-22 12:00:00","68","61.1","57","68","68","68","68","10","990.3","1019.3","3","270","0","0","50"
"200501160nwe","Gillette Stadium","2005-01-15","04:45:00","42.0909","-71.2643","2005-01-15 17:00:00","28.9","23.9","10.9","25.2","25.2","28.9","46","1.5","1037.1","1039","3","270","0","0","0"
"200612030ram","Edward Jones Dome","2006-12-02","01:02:00","38.6328","-90.1885","2006-12-02 12:00:00","28.9","27.2","24.1","25.2","25.2","28.9","82","2.7","1016.6","1032.3","3","260","0","0","0"
"200312280sdg","Qualcomm Stadium","2003-12-27","04:15:00","32.7831","-117.12","2003-12-27 13:00:00","55.9","43.7","28","55.9","55.9","55.9","34","3.2","1011.2","1026.5","3","260","0","0","0"
"200510160oti","The Coliseum","2005-10-15","01:03:00","36.1665","-86.7713","2005-10-15 12:00:00","75","61.6","53.1","77","75","77","46","8.6","996.3","1017.4","3","260","0","0","0"
"200612180clt","RCA Dome","2006-12-17","08:40:00","39.7581","-86.1579","2006-12-17 21:00:00","55.9","54.2","53.1","55.9","55.9","55.9","90","8.7","989.8","1018.4","3","250","0.01","0","100"
"200110080det","Pontiac Silverdome","2001-10-07","09:07:00","42.6458","-83.255","2001-10-07 21:00:00","39.9","34.7","27","37.8","37.8","39.9","59","3.1","989.8","1027.1","3","250","0","0","25"
"200010220cin","Paul Brown Stadium","2000-10-21","01:00:00","39.0955","-84.5161","2000-10-21 13:00:00","64","59.7","57","64","64","64","78","9.9","1005.2","1023.2","3","240","0","0","100"
"200311160buf","Ralph Wilson Stadium","2003-11-15","01:01:00","42.7738","-78.787","2003-11-15 13:00:00","42.1","38.1","33.1","40.2","40.2","42.1","70","4","992.5","1019.1","3","220","0","0","100"
"200609170cin","Paul Brown Stadium","2006-09-16","01:03:00","39.0955","-84.5161","2006-09-16 13:00:00","75","66.5","62.1","77.9","75","77.9","64","11.9","1003.4","1020.9","3","220","0","0","50"
"200011190oti","Adelphia Coliseum","2000-11-18","01:03:00","36.1664","-86.7712","2000-11-18 12:00:00","33.1","28.9","21","30","30","33.1","61","2.4","1004.1","1026.3","3","210","0","0","100"
"200309140atl","Georgia Dome","2003-09-13","01:03:00","33.7577","-84.4008","2003-09-13 13:00:00","80.1","68","62.1","81.6","80.1","81.6","54","12.1","988.3","1019","3","210","0","0","50"
